(0.00, 0.00)
(-17.88, -5.80)
(-32.46, -20.48)
(-43.52, -32.50)
(-54.78, -39.14)
(-19.02, -47.01)
(-21.66, -68.21)
(-22.58, -81.68)
(-23.17, -92.68)
(-8.28, -49.02)
(-8.23, -72.77)
(-8.13, -87.52)
(-7.96, -99.68)
(2.24, -46.77)
(3.47, -69.91)
(4.39, -83.94)
(4.96, -95.49)
(12.69, -41.23)
(18.12, -57.48)
(21.86, -67.83)
(24.78, -77.07)

(0.00, 0.00)
(17.04, -5.96)
(31.76, -19.40)
(43.84, -29.55)
(54.37, -35.51)
(17.53, -45.46)
(20.49, -64.92)
(23.09, -77.92)
(25.42, -89.31)
(5.62, -48.45)
(5.67, -70.98)
(7.29, -86.54)
(8.65, -99.63)
(-5.36, -46.59)
(-8.49, -68.31)
(-9.01, -82.95)
(-9.10, -94.89)
(-15.12, -40.21)
(-24.10, -56.48)
(-29.79, -67.50)
(-34.03, -78.05)

(0.00, 0.00)
(68.18, -26.38)
(124.53, -97.43)
(137.85, -166.63)
(117.28, -220.83)
(83.41, -164.25)
(95.69, -206.51)
(94.47, -153.02)
(88.67, -109.87)
(39.23, -166.92)
(55.32, -206.19)
(53.05, -132.09)
(46.23, -88.67)
(-6.34, -160.85)
(8.64, -198.20)
(13.02, -124.17)
(9.56, -82.75)
(-55.53, -148.94)
(-36.83, -183.81)
(-24.68, -135.96)
(-24.46, -106.49)

(0.00, 0.00)
(-67.46, -27.39)
(-125.47, -91.96)
(-146.00, -161.20)
(-118.87, -207.86)
(-81.91, -171.88)
(-81.82, -210.24)
(-75.99, -149.09)
(-71.28, -105.38)
(-30.59, -179.11)
(-34.38, -214.84)
(-33.58, -132.09)
(-32.68, -94.51)
(18.83, -173.51)
(19.53, -210.20)
(8.39, -133.77)
(0.18, -97.17)
(69.14, -156.44)
(67.96, -192.97)
(52.97, -142.32)
(38.38, -115.33)
